stateid,wave1 − weekid,wave2 − weekid,wave1-monthid,wave2-monthid
AN,44,124,6,15
AP,50,124,7,15
AR,62,142,8,17
AS,58,126,7,15
BR,44,120,6,15
CH,54,122,7,15
CT,56,120,7,15
DL,70,118,9,14
DN,44,118,6,14
GA,54,122,7,15
GJ,58,120,8,15
HP,74,122,9,15
HR,54,120,7,15
JH,52,120,7,15
JK,54,122,7,15
KA,60,122,8,15
KL,64,122,8,15
LA,60,116,8,14
LD,1,126,1,15
MH,54,116,7,14
ML,62,126,8,15
MN,66,144,8,17
MP,56,122,7,15
MZ,56,146,7,18
NL,44,126,6,15
OR,56,124,7,15
PB,54,122,7,15
PY,56,124,7,15
RJ,74,122,9,15
SK,56,128,7,16
TG,50,118,7,15
TN,40,126,5,15
TR,52,126,7,15
UP,54,118,7,14
UT,54,122,7,15
WB,66,124,8,15
