stateid,vaccinateddose1ratio,vaccinateddose2ratio
ANDHRA PRADESH,0.2189166576230436,0.07667477445850374
UTTAR PRADESH,0.241467893116772,0.04594382386020891
BIHAR,0.24176282887637102,0.04667908338268678
JHARKHAND,0.2666995653649279,0.06471814986564563
WEST BENGAL,0.27187312913131767,0.10286534434556072
TAMIL NADU,0.3014415007797272,0.06790820079495996
PUNJAB,0.3029923436033544,0.09078334409507609
NAGALAND,0.3231631810329229,0.08488240092757046
MAHARASHTRA,0.32376920092598016,0.11402685700479308
MEGHALAYA,0.3265373257981677,0.08674372381305806
ODISHA,0.35759229629959993,0.10661125360334289
ASSAM,0.36628239132647317,0.07828408615178262
CHHATTISGARH,0.36732974236488597,0.10866547207815731
MANIPUR,0.4110541586683073,0.09326653112934616
HARYANA,0.4138659143208388,0.12589037271302145
RAJASTHAN,0.41622804616245296,0.13105417706314734
MADHYA PRADESH,0.4359910263990808,0.08390328700796974
KARNATAKA,0.4364056041825936,0.12828141256110107
JAMMU AND KASHMIR,0.45734980307467277,0.13126683337981973
DELHI,0.4914838573711928,0.1944848984160714
PUDUCHERRY,0.49383109780576673,0.1259951296242727
GUJARAT,0.49999109856483054,0.15922514959209255
ARUNACHAL PRADESH,0.506586198000039,0.14434711471265646
KERALA,0.5173220212942795,0.19929955225789714
UTTARAKHAND,0.5448837888096042,0.17077177618891065
MIZORAM,0.6016272240581987,0.1984048574287782
ANDAMAN AND NICOBAR ISLANDS,0.6114572193567204,0.2556275799369911
TRIPURA,0.6624256889853527,0.22504210084223458
CHANDIGARH,0.695039082855654,0.23151357240987255
HIMACHAL PRADESH,0.7212055411224132,0.2205073214732624
GOA,0.7629624043138882,0.22619048435255684
LAKSHADWEEP,0.8015448327206738,0.2772478401811611
SIKKIM,0.820255266739494,0.25884040833506666
DADRA AND NAGAR HAVELI AND DAMAN AND DIU,1.0194631284116698,0.1540507295265744
